278	258.5	-0.775	4.22333	46.6	28.3195 95.4525 18.8351 7.94359 15.6929 -104.38 -46.1546 85.3531 54.6439 -79.5783 -29.8676 42.8565 24.4193 -35.3956 -23.0425 0.0405526 0.180212 0.0206181 0.0159522 0.10094 0.156732 0.0558411 0.12274 0.105977 0.246447 0.0622043 0.171672 0.0337913 0.118749 0.0683781
278	258.5	0	10.6567	110.592	27.4614 92.4633 18.303 7.80837 16.4019 -101.31 -44.7644 82.4478 53.7728 -78.2832 -29.1605 42.3201 23.8963 -34.6396 -22.6936 0.0302481 0.147634 0.0191088 0.0124699 0.0616906 0.126666 0.0467027 0.101522 0.0793347 0.165082 0.0399009 0.101219 0.0277101 0.0792758 0.0486865
278	258.5	0.775	4.54	46.275	26.2178 88.6561 17.4271 7.4086 15.1053 -96.8266 -42.6449 78.8669 51.1573 -74.2189 -28.01 40.7132 22.7405 -33.062 -21.3762 0.0387601 0.169696 0.0192096 0.0149121 0.097671 0.146534 0.0525589 0.114167 0.0991634 0.232704 0.0598905 0.160618 0.0316546 0.111329 0.0637164
278	285	-0.775	38.0233	118.108	8.28638 28.4269 3.60414 1.55583 4.52621 -30.7619 -10.8905 20.2915 13.2663 -23.0522 -7.1427 12.3592 4.73592 -8.14346 -5.34225 0.00654353 0.0432794 0.00383281 0.00244607 0.0165357 0.0336565 0.0101399 0.0227778 0.0193206 0.0471789 0.0083483 0.0244707 0.0054511 0.0161371 0.0109121
278	285	0	91.8267	282.267	8.40586 28.7772 3.6534 1.56351 4.62856 -31.1411 -11.0593 20.4798 13.3845 -23.1858 -7.24254 12.5443 4.78004 -8.26535 -5.39772 0.00606168 0.0400078 0.00366776 0.00212326 0.0124677 0.0313163 0.00961882 0.0209426 0.0174386 0.0413286 0.00687472 0.0177121 0.00491985 0.0128274 0.00914166
278	285	0.775	38.8033	118.292	8.23323 27.6895 3.53836 1.51441 4.50981 -30.1986 -10.7717 19.7938 12.9022 -22.4134 -7.01995 12.1824 4.62522 -7.98955 -5.24749 0.00622819 0.0426318 0.00371451 0.00238643 0.0166146 0.0328137 0.00973187 0.0221729 0.0188826 0.0473379 0.00802639 0.0242284 0.0053137 0.0159397 0.0108675
278	315	-0.775	96.83	145.5	4.21599 13.9571 1.12294 0.452421 1.97444 -15.318 -4.33911 7.91082 5.02308 -10.5198 -2.75109 5.81524 1.42636 -2.9849 -1.88967 0.00236759 0.0185255 0.00112589 0.000735474 0.00652485 0.0134224 0.00345962 0.00802025 0.00687954 0.0207853 0.00304894 0.0109441 0.00168105 0.0060662 0.00375864
278	315	0	232.117	352.608	4.27346 14.5251 1.14968 0.466358 2.01687 -15.7537 -4.42355 8.15892 5.19906 -10.9015 -2.8125 5.9966 1.46617 -3.09938 -1.95503 0.00220064 0.0159188 0.00107254 0.000624362 0.00487275 0.0120415 0.00324478 0.00744991 0.00597421 0.0181803 0.00248711 0.00856464 0.00150985 0.00528312 0.00330431
278	315	0.775	95.9533	147	4.22175 14.1902 1.12646 0.452598 1.94373 -15.4802 -4.34843 7.97611 5.05185 -10.6199 -2.74167 5.84192 1.42726 -3.00703 -1.90055 0.00239967 0.0186325 0.00113923 0.000750713 0.00650232 0.0135071 0.00350314 0.00805127 0.00697558 0.0208667 0.00311703 0.0110795 0.00171102 0.0060938 0.00377243
278	345	-0.775	203.34	200.083	2.7738 8.56521 0.447338 0.146762 0.915021 -9.73981 -2.22173 3.90952 2.22521 -5.66588 -1.26579 3.17956 0.510846 -1.29572 -0.746088 0.00113958 0.0118395 0.000427718 0.000288713 0.00309324 0.00772956 0.00153609 0.00382968 0.00296625 0.0117272 0.00155678 0.00736613 0.000671769 0.00293385 0.00157071
